Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Фрост против Никсона,7,7.7,7,2008,драма,исторический,2 часа 2 минуты,Рон Ховард,Питер Морган,05.02.2009 (РФ),25000000 $,$18 622 031 (США),UPI,"Imagine Entertainment, Relativity Media, StudioCanal, Universal Pictures, Working Title Films","Frost/Nixon, Frost/Nixon - Il duello, Frost/Nixon, l'heure de vйritй, Il duello Frost/Nixon",Должен остаться только один (Кирилл Андреев),,
На краю рая,7,7.7,6.8,2007,драма,Германия,1 час 56 минут,Фатих Акин,Фатих Акин,04.09.2008 (РФ),,$742 349 (США),Кино Без Границ,"Anka Film, BKM, Dorje Film, Filmforderung Hamburg, Filmforderungsanstalt (FFA), Filmstiftung Nordrhein-Westfalen, Kulturelle Filmforderung Schleswig-Holstein, Norddeutscher Rundfunk (NDR), nordmedia Fonds GmbH","Ai confini del paradiso, On the Other Side, The Edge of Heaven, Yasamin kiyisinda",,,
Порко Россо,7,7.7,6.5,1992,мультфильмы,комедия,1 час 34 минуты,Хаяо Миядзаки,Хаяо Миядзаки,06.02.2020 (РФ),,,Ruscico,"Japan Airlines (JAL), Nibariki, Nippon Television Network (NTV), Studio Ghibli, TNNG, Toho Company, Tokuma Shoten","Porco Rosso, The Crimson Pig, Kurenai no buta, Porco Rosso: O Último Herói Romântico, Punainen sika, Oi aeromahies tou Porco Rosso, Οι αερομαχίες του Πόρκο Ρόσο, 飛天紅豬俠, Porco Rosso, a mesterpilóta, 紅の豚, Szkarlatny pilot, Porco Rosso - O Porquinho Voador, O Porquinho Voador, Porko Roso, 紅豬, Kırmızı Kanatlar, Кнур Багряний, Kurenai No Buta, 红猪, Οι αερομαχίες του Πόρκο Ρόσσο, Szkarłatny pilot, Порко Росо",Страница аниме на сайте Anime News Network (англ.),,
Кикуджиро,7,7.7,6.8,1999,драма,комедия,2 часа 1 минута,Такеши Китано,Такеши Китано,01.06.2000 (РФ),,,Кино Без Границ,"Bandai Visual Company, Nippon Herald Films, Office Kitano, Tokyo FM Broadcasting Co.","Kikujiro, Estate di Kikujiro, L', Kikujiro no natsu, Kikujiros Sommer","Страница фильма на сайте компании ""Кино без границ""Официальный сайт (япон.)Официальный сайт (англ.)",,
Черная книга,7,7.7,7.1,2006,война,драма,2 часа 25 минут,Пол Верховен,Пол Верховен,18.01.2007 (РФ),21000000 $,4 300 046 руб. (РФ),Парадиз,"Fu Works, Egoli Tossell Pictures, Clockwork Pictures, Studio Babelsberg, Motion Investment Group, Motel Films, Hector BV, ContentFilm International, AVRO Television, VIP 4 Medienfonds, uFilm, Nederlands Fonds voor de Film, CoBo Fund, Medienboard Berlin-Brandenburg, Eurimages, Filmförderungsanstalt (FFA), City of The Hague, MEDIA Programme of the European Union, Le Tax Shelter du Gouvernement Fédéral de Belgique, Umedia","Zwartboek, Black book - El libro negro, Чeрната книга, A Espiã, Das schwarze Buch, El libro negro, Mavri lista, Μαύρη λίστα, Fekete Könyv, La lista negra, Infiltratøren, Czarna ksiega, Livro Negro, Cartea neagra, Crna knjiga, Kara kitap, Black Book - El libro negro, Le carnet noir, ブラックブック, Juodoji knyga, Czarna księga, Lista neagră, Црна књига, 黑書, Kara Kitap, Чорна книга, Qora kitob","Официальный сайт (англ.)Официальный сайт (голл.)Венеция-2006: Навеяно реальными событиями (Валерий Кичин, ""Российская газета"")Голландский режиссер очернил Голландию (Андрей Плахов, ""Коммерсантъ"")Голландская связная (Лидия Маслова, ""Коммерсантъ"")Куртизанки в тылу (Валерий Кичин, ""Российская газета"")",,
Счастливого Рождества,7,7.7,6.7,2005,война,драма,1 час 56 минут,Кристиан Карион,Кристиан Карион,15.12.2005 (РФ),22000000 $,,Централ Партнершип,"Nord-Ouest Productions, Senator Film Produktion, Bureau, The, Artémis Productions, Media Pro Pictures, TF1 Films Production, Les Productions de la Guéville, Canal+, CinéCinéma, Sat.1, Centre National de la Cinématographie (CNC), Eurimages, Région Nord-Pas-de-Calais, C.R.R.A.V, Medienboard Berlin-Brandenburg, Filmförderungsanstalt (FFA), Le Tax Shelter du Gouvernement Fédéral de Belgique, Soficinéma, Cofimage 16, Uni Etoile 2, Sogécinéma 3, Groupe Un, SCOPE Invest, Nippon Herald Films, Cinéart, Films Distribution, Cofinova 1","Joyeux Noël, Noche de paz, Feliz Natal, Šťastné a Veselé, Merry Christmas, En dag uden krig, Feliz Navidad, En dag utan krig, Päivä ilman sotaa, Kala Hristougenna, Καλά Χριστούγεννα, Sretan Božić, Fegyverszünet karácsonyra, Joyeux Noël - Una verità dimenticata dalla storia, En dag uten krig, Boze Narodzenie, Wesolych Swiat, Craciun Fericit, Srećan Božić, Schastlivogo Rozhdestva, Fiendeland, Fiendeland - En dag utan krig, God jul, Vesel bozic, Ateskes, Happy Christmas,",Официальный сайт (англ./франц.)Елочный базар (К.Тарханова)Приз зрительских симпатий European Film Academy 2006. Проголосовать онлайн,,
Столкновение,7,7.7,6.9,2004,драма,триллер,2 часа 11 минут,Пол Хаггис,Бобби Мореско,24.11.2005 (РФ),6500000 $,$54 580 300 (США),Люксор,"Bob Yari Productions, DEJ Productions, Blackfriars Bridge Films, Harris Company, ApolloProScreen Filmproduktion, Bull's Eye Entertainment, Incognito Pictures","Crash, Vidas cruzadas, Collision, Сблъсъци, Crash: No Limite, Fatalna nesreća, Ütközések, Hitraskout, Barkhord, Crash: Contatto fisico, Alto impacto, Miasto gniewu, Colisão, Usodna nesreca, Çarpisma, Crash: Alto impacto, Tasadom, L.A. Crash, クラッシュ, Sadursme, Avarija, Povești din L.A., Фатална несрећа, 衝擊效應, Çarpışma, Зіткнення",Официальный русский сайтОфициальный сайт (англ.),,
Че Гевара: Дневники мотоциклиста,7,7.7,6,2004,биографический,драма,2 часа 6 минут,Уолтер Саллеш,Хосе Ривера,05.05.2005 (РФ),,$16 781 387 (США),Централ Партнершип,"FilmFour, Wildwood Enterprises, Tu Vas Voir Productions, BD Cine, Inca Films S.A., Sahara Films, Senator Film Produktion, Sound for Film","Diarios de motocicleta, Die Reise des jungen Che, Мотоциклетни дневници, Diários de Motocicleta, Carnets de voyage, Motorcykeldagbog, Moottoripyöräpäiväkirja, Voyage à motocyclette, Imerologia motosikletas, Ημερολόγια Μοτοσυκλέτας, Dnevnik s motocikla, Che Guevara: A motoros naplója, I diari della motocicletta, Motorsykkeldagbøkene, Dzienniki motocyklowe, Diários de Che Guevara, Jurnal de calatorie, Dnevnik motocikliste, Dagbok från en motorcykel, Motosiklet günlügü, Дневниците на мотоциклетиста, Ημερολόγια μοτοσυκλέτας, Diarios De Motocicleta, モーターサイクル・ダイアリーズ, Motociklininko dienoraštis, 革命前夕的摩托車日記, Motosiklet Günlüğü, Щоденники мотоцикліста, Hành Trình Nam Mỹ","Официальный сайт (англ./исп.)Лауреаты и номинанты на премию ""Оскар""-2005До свидания, мальчики (К.Тарханова)",,
Гарри Поттер и Кубок огня,7,7.7,8.2,2005,детектив,приключения,2 часа 37 минут,Майк Ньюэлл,Джоан Роулинг,22.12.2005 (РФ),150000000 $,$290 013 036 (США),Каро Премьер,"Warner Bros., Heyday Films, Patalex IV Productions Limited","Harry Potter and the Goblet of Fire: The IMAX Experience, Harry Potter e il calice di fuoco, Harry Potter und der Feuerkelch, The Goblet of Fire, Harry Potter dhe Kupa e Zjarrit, Harry Potter y el cáliz de fuego, Harry Potter en de vuurbeker, Хари Потър и огненият бокал, Harry Potter e o Cálice de Fogo, Harry Potter et la coupe de feu, Harry Potter a Ohnivý pohár, Harry Potter og flammernes pokal, Harry Potter ja tulepeeker, Harry Potter i el calze de foc, Harry Potter ja liekehtivä pikari, O Harry Potter kai to kypelo tis fotias, Ο Χάρι Πότερ και το κύπελλο της φωτιάς, Harry Potter i Plameni pehar, Harry Potter és a tűz serlege, Harry Potter og eldbikarinn, Harî Pottâ to honoo no goburetto, Haris Poteris ir ugnies taure, Harry Potter og ildbegeret, Harry Potter i Czara Ognia, Harry Potter si Pocalul de Foc, Hari Poter i Vatreni pehar, Harry Potter och Den flammande bägaren, Harry Potter in ognjeni kelih, Harry Potter a Ohnivá casa, Harry Potter ve Ates Kadehi","Когда Гарри встретил Джо (К.Тарханова)Гарри Поттер: рождение, жизнь и смерть (Анна Аболенцева)Официальный русский сайтОфициальный сайт (англ.)",,
Превосходство Борна,7,7.7,7.5,2004,боевик,детектив,1 час 48 минут,Пол Гринграсс,Тони Гилрой,02.09.2004 (РФ),75000000 $,$176 241 941 (США),UPI,"Universal Pictures, Motion Picture THETA Produktionsgesellschaft, The Kennedy, Marshall Company, Ludlum Entertainment, Hypnotic","Die Bourne Verschwцrung, La supremacía de Bourne, Die Bourne Verschwörung, Превъзходството на Борн, A Supremacia Bourne, La mort dans la peau, Bournùv mýtus, Bourneduellen, Bourne'i ülemvõim, El mito de Bourne, Medusan isku, Sti skia ton kataskopon, Στη σκιά των κατασκόπων, Bourneova nadmoć, A Bourne-csapda, La supremacía Bourne, Gåten Jason Bourne, Krucjata Bourne'a, Supremacia, Bornova nadmoć, Bournova premoc, Bournov mýtus, Medusa darbesi, Перевага Борна, 谍影重重2, Bournův mýtus, बॉर्न सुप्रिमेसी, ボーン・スプレマシー, Bornas: Absoliutus pranašumas, Supremaţia lui Bourne, Bournova premoč, 神鬼認證2：神鬼疑雲, Medusa Darbesi, Born ustunligi, Siêu Điệp Viên 2: Quyền Lực Của Bourne",Официальный сайт (англ.)Не будите спящего убийцу (К.Тарханова),,
Трудности перевода,7,7.7,7.1,2003,драма,комедия,1 час 42 минуты,София Коппола,София Коппола,25.12.2003 (РФ),4000000 $,$44 585 453 (США),Парадиз,"Focus Features, Tohokushinsha Film Corporation (TFC), American Zoetrope, Elemental Films","Perdidos en Tokio, Изгубени в превода, Encontros e Desencontros, Traduction infidèle, Ztraceno v prekladu, Lost in Translation - Zwischen den Welten, Tõlkes kaduma läinud, Targmanshi dakargulni, Hamenoi sti metafrasi, Χαμένοι στη μετάφραση, Izgubljeni u prijevodu, Elveszett jelentés, Avoodim B'Tokyo, Lost in Translation - L'amore tradotto, Pasiklyde vertime, Miedzy slowami, O Amor É um Lugar Estranho, Izgubljeni u prevodu, Izgubljeno s prevodom, Stratené v preklade, Bir konusabilse..., Труднощi перекладу, 迷失东京, Ztraceno v překladu, Lost in Translation: Zwischen den Welten, 迷失東京, ロスト・イン・トランスレーション, Pazudis tulkojumā, Pasiklydę vertime, Między słowami, Rataciti printre cuvinte, Изгубљени у преводу, 愛情，不用翻譯, Long, Ngao, Rak, Bir Konuşabilse, Труднощі перекладу, Tarjima mashaqqatlari","Официальный сайт (англ.)Сурок в Японии (К.Тарханова)Четвертое измерение Эдема (Евгения Леонова, ""Русский курьер"")Видеоновинки: Тайная жизнь душ (Валерий Кичин, ""Российская газета"")",,
Дорога к дому,7,7.7,7.5,2002,драма,,1 час 20 минут,Ли Юнг-Хянг,,10.04.2003 (РФ),,$445 367 (США),Пан Терра,"CJ Entertainment, Tube Entertainment",,"Официальный сайт (англ./кор.)""Мыло"" с примесью наждака (Екатерина Барабаш, ""Независимая газета"")",,
Кукушка,7,7.7,6.8,2002,война,драма,1 час 40 минут,Александр Рогожкин,,12.09.2002 (РФ),,$243 936 (США),Интерсинема,Кинокомпания СТВ,,"Страница фильма на сайте кинокомпании ""CTB""Cлушаем кукушку, да не слышим (Георгий Дарахвелидзе)Опять второстепенные люди и их национальные особенности (Екатерина Барабаш)",,
Туннель,7,7.7,7.4,2001,детектив,драма,2 часа 37 минут,Роланд Зузо Рихтер,Йоханнес Бельц,09.05.2002 (РФ),,,Централ Партнершип,Sat 1,,Фасадные работы (К.Тарханова),,
Анатомия падения,7,7.6,6.5,2023,драма,триллер,1 час 53 минуты,Жюстин Трие,Жюстин Трие,14.09.2023 (РФ),,,ПРОвзгляд,"Les Films Pelléas, Les Films de Pierre, France 2 Cinéma, Auvergne Rhône-Alpes Cinéma, Canal+","Траектория падения, Anatomía de una caída, Anatomy of a Fall,",,,
"Ты здесь, Бог? Это я, Маргарет",7,7.6,5.9,2023,драма,комедия, 55 минут,Келли Фремон Крэйг,Джуди Блум,23.04.2023 (мир),,,,"Gracie Films, Lionsgate",,,,
Вся красота и кровопролитие,7,7.6,5.3,2022,документальный,США,1 час 27 минут,Лора Пойтрас,,03.09.2022 (мир),,,,"Participant, Praxis Films","올 더 뷰티 앤드 더 블러드셰드, Kõik see ilu ja verevalamine, Całe to piękno i krew, Ljepota i krvoproliće",,,
Отверженные,7,7.6,6.1,2019,драма,триллер,1 час 44 минуты,Ладж Ли,Алексис Манети,19.12.2019 (РФ),,,Russian World Vision,"Srab Films, Rectangle Productions, Lyly Films, Canal+, Ciné+, Le Pacte, Wild Bunch, La Région Île-de-France, Cinéventure 4, Cinéfeel 4, Centre national du cinéma et de l'image animée (CNC), Cinémage 12 Développement, Cinéventure Développement 3, Arte-Cofinova 15","Les misérables, Die Wütenden - Les misérables, Οι Άθλιοι, Nyomorultak, I miserabili, Nędznicy, Os Miseráveis, Los miserables, Die Wütenden - Les Misérables, Jadnici, 孤城淚, 'Alouvai Ha'Kha'yim, レ・ミゼラブル, Nožēlojamie, De elendige, Los Miserables, 悲慘世界, Sefiller, Знедолені, Những Người Khốn Khổ",,,
Поиск,7,7.6,6.5,2018,детектив,драма,1 час 42 минуты,Аниш Чаганти,Сев Оханин,27.09.2018 (РФ),,49 492 221 руб. (РФ),Walt Disney Studios,"Screen Gems, Stage 6 Films, Bazelevs Production","Buscando..., Търсене, Searching: Portée disparue, Keresés, Pesquisa Obsessiva, Cautarea ..., Recherché, Recherche, Buscando, Pátrání, 人肉搜尋, Khipous, search サーチ, Meklēšana, Paieška, Potraga za ćerkom, Pátranie, Iskanje, Searching..., 人肉搜索, Kayıp Aranıyor, Пошук, Qidiruv, Truy Tìm Tung Tích Ảo",Сайт фильма,,
Проект Флорида,7,7.6,7.1,2017,драма,США,1 час 51 минута,Шон Бэйкер,Крис Бергоч,08.03.2018 (РФ),,$5 904 366 (США),A-One Films,"Cre Film, Freestyle Picture Company, June Pictures, Sweet Tomato Films","Проект «Флорида», Проектът Флорида, Projeto Flórida, Projekt Florida, Floridai álom, El proyecto Florida, Proyecto Florida, Mon royaume en Floride, El Proyecto Florida, 佛罗里达乐园, Florida projekt, Un sogno chiamato Florida, フロリダ・プロジェクト　真夏の魔法, Floridos projektas, Projekt Floryda, Proiectul Florida, 歡迎光臨奇幻城堡, Welcome to the Fantasy Castle, Dự Án Florida",,,
Суперсемейка 2,7,7.6,7.1,2018,мультфильмы,боевик,1 час 58 минут,Брэд Бёрд,Брэд Бёрд,14.06.2018 (РФ),,974 551 816 руб. (РФ),Walt Disney Studios,"Walt Disney Pictures, Pixar Animation Studios","Os Incríveis 2, Les indestructibles 2, Izbavitelji 2, Superhjältarna 2, Los increíbles 2, Rodinka úzasných 2, The Incredibles 2, A hihetetlen család 2., Суперсiмейка 2, Феноменалните 2, Úžasňákovi 2, Úzasnákovi 2, Los Increíbles 2, Mr. Incredible 2, Incredibilii 2, Inanilmaz Aile 2, Fantastikët 2, Die Unglaublichen 2, De Utrolige 2, Gli Incredibili 2, Nerealieji 2, De utrolige 2, Iniemamocni 2, The Incredibles 2: Os Super-Heróis, Neverjetni 2, Rodinka úžasných 2, Les incroyables 2, 超人总动员2, Ihmeperhe 2, Les Indestructibles 2, Οι Απίθανοι 2, Hin ótrúlegu 2, Mishpakhat Super Al 2, インクレディブル・ファミリー, Суперотбасы 2, Lieliskie 2, Neviđeni 2, Rodinka Úžasných 2, Els increïbles 2, 超人特攻隊2, İnanılmaz Aile 2, Суперсімейка 2, Ajabtovur oila 2, Gia Đình Siêu Nhân 2",,,
Любой ценой,7,7.6,7.2,2016,боевик,вестерн,1 час 42 минуты,Дэвид Маккензи,Тэйлор Шеридан,18.08.2016 (РФ),12000000 $,$27 007 844 (США),Парадиз,"Film 44, OddLot Entertainment, Sidney Kimmel Entertainment","Comancheria, Az do piekla, Sin nada que perder, На всяка цена, A Qualquer Custo, Nada que perder, Comanchería, Πάση θυσία, Ba'esh ou'va'ma'yim, Bet kokia kaina, Enemigo de todos, Hell or High Water - Custe o Que Custar!, Po cenu života, Za vsako ceno, Iki Eli Kanda",Сайт фильма,,
Дэдпул 2,7,7.6,7.4,2018,боевик,комедия,1 час 48 минут,Дэвид Литч,  ...,17.05.2018 (РФ),110000000 $,1 363 038 225 руб. (РФ),Двадцатый Век Фокс СНГ,"Twentieth Century Fox, Marvel Entertainment, Kinberg Genre, Maximum Effort, TSG Entertainment, Donners' Company","Love Machine, Deadpool 2, Daisy, Дедпул 2, DP2, Había una vez un Deadpool, Era uma Vez um Deadpool, Si Shi 2: Wo Ai Wo Jia, Dedpuli 2, Deadpool 2., Once Upon A Deadpool, デッドプール2, Dedpūls 2, Once Upon a Deadpool, Érase una vez Deadpool, 死侍2, Deadpool 2: The Super Duper Cut, Dedpul 2",,,
Стражи Галактики. Часть 2,7,7.6,7.7,2017,боевик,комедия,1 час 46 минут,Джеймс Ганн,  ...,04.05.2017 (РФ),200000000 $,1 604 854 041 руб. (РФ),Walt Disney Studios,"Marvel Studios, Walt Disney Pictures","Стражи Галактики 2, Guardianes de la galaxia 2, Guardiões da Galáxia Vol. 2., Guardians of the Galaxy 2, Les gardiens de la galaxie 2, Guardiani della Galassia Vol. 2, Guardiões da Galáxia 2, Galaksinin Koruyuculari 2, Пазители на Галактиката Vol. 2, Guardiões da Galáxia Vol. 2, Φύλακες του Γαλαξία vol. 2, A galaxis őrzői vol. 2., Galaktikos sergetojai 2, Guardianes de la galaxia Vol. 2, Guardianes de la Galaxia Vol. 2, Čuvari Galaksije vol. 2, Strażnicy Galaktyki vol. 2, Guardiões da Galáxia Vol.2, Cuvari Galaksije vol. 2, Вартовi Галактики 2, Les gardiens de la galaxie Vol. 2, Strážci Galaxie Vol. 2, Φύλακες του γαλαξία 2, Shomray ha'Galaxia khelek 2, ガーディアンズ・オブ・ギャラクシー　リミックス, Galaktikas sargi: 2. daļa, Guardians Of The Galaxy 2, Gardienii Galaxiei Vol. 2, Чувари галаксије 2, Strážcovia Galaxie 2, Varuhi galaksije 2, Varuhi galaksije 2. dejanje, 星際異攻隊2, Galaksinin Koruyucuları 2, Вартові Галактики 2, Guardians of the Galaxy: Vol. 2, Vệ Binh Dải Ngân Hà 2, Les Gardiens de la Galaxie Vol. 2, Φύλακες του Γαλαξία 2, Ruam Phan Nak Su Phithak Chakkrawan 2, Galaktika qo'riqchilari 2",,,
Малыш на драйве,7,7.6,7.3,2017,боевик,драма,2 часа 9 минут,Эдгар Райт,Эдгар Райт,24.08.2017 (РФ),34000000 $,341 342 398 руб. (РФ),Walt Disney Studios,"TriStar Pictures, Media Rights Capital (MRC), Working Title Films, Big Talk Productions","Малыш водитель, Drive Baby Drive, Зад волана, Em Ritmo De Fuga, Põgenemise rütm, Nyomd, bébi, nyomd, Baby Driver: Il genio della fuga, Baby Driver - Alta Velocidade, Baby: El aprendiz del crimen, Vaikis ant ratu, Em Ritmo de Fuga, Baby, le chauffeur, Vozač, Nyomd, Bébi, nyomd!, Baby Driver - Il genio della fuga, Baby: El Aprendiz del Crimen, Tam Gaz, Baby El aprendiz del Crimen, Baby: aprendiz del crimen, ベイビー・ドライバー, Zaļknābis pie stūres, Baby: el aprendiz del crimen, Возач, Voznik, 玩命再劫, На драйві, Baby, el aprendíz del crimen, Haydovchi Bolakay, Uddaburon Bolakay, Tezlik asiri, Quái Xế Baby",,,
Крид: Наследие Рокки,7,7.6,7,2015,боевик,драма,2 часа 13 минут,Райан Куглер,Сильвестр Сталлоне,14.01.2016 (РФ),35000000 $,$109 767 581 (США),Каро Премьер,"Metro-Goldwyn-Mayer (MGM), Warner Bros., New Line Cinema, Chartoff-Winkler Productions","Creed: Corazón de campeón, Creed: Nascido para Lutar, Крийд: Сърце на шампион, Creed: Legenda je rodena, Creed: Rocky pärand, Creed: The legacy of Rocky, Creed: L'héritage de Rocky Balboa, Creed: Rocky's Legacy, Κριντ: Η γέννηση ενός θρύλου, Creed: Apollo fia, Creed - Nato per combattere, クリード　チャンプを継ぐ男, Krīds: Rokija mantojums, Krydas: Gimęs kovoti, Creed: Narodziny legendy, Creed: O Legado de Rocky, Крид: Рађање легенде, Creed: rojstvo legende, Creed: La leyenda de Rocky, Creed - The Legacy of Rocky, 金牌拳手, Creed: Efsanenin Doğuşu, Крід: Спадок Рокі Бальбоа, Krid, Krid: Rokkining merosi, Tay Đấm Huyền Thoại",Сайт фильма,,
Шпионский мост,7,7.6,6.9,2015,драма,исторический,2 часа 22 минуты,Стивен Спилберг,Джоэл Коэн,03.12.2015 (РФ),40000000 $,$72 313 754 (США),Двадцатый Век Фокс СНГ,"Dreamworks Pictures, Fox 2000 Pictures, Reliance Entertainment, Participant, TSG Entertainment, Amblin Entertainment, Marc Platt Productions, Studio Babelsberg","Untitled Cold War Spy Thriller, Puente de espías, Most Spijuna, Le pont des espions, Mostut na shpionite, Мостът на шпионите, Ponte dos Espiões, Most spiónu, Bridge of Spies: Der Unterhändler, Spionernes bro, El puente de los espías, Espioien Zubia, Pont d'Espies, Vakoojien silta, I géfyra ton kataskópon, Η γέφυρα των κατασκόπων, Most spijuna, Kémek hídja, Gesher ha'meraglim, Il ponte delle spie, Snipu tiltas, Spiegu Tilts, Most szpiegów, A Ponte dos Espiões, Podul spionilor, Most špijuna, Shpionskiy most, Spionernas bro, Casuslar Köprüsü, Mist shpyguny, Мiст шпигунiв, St. James Place, Most špiónů, Spioonide sild, Bridge of Spies - Der Unterhändler, Bridge Of Spies, ブリッジ・オブ・スパイ, Spiegu tilts, Šnipu tiltas, Мост шпијуна, Most vohunov, 間諜橋, Міст шпигунів, Mist shpyguniv, Người Đàm Phán",Сайт фильмаСайт фильма,,
Восстание планеты обезьян,7,7.6,7.2,2011,боевик,драма,1 час 45 минут,Руперт Уайатт,Пьер Буль,04.08.2011 (РФ),93000000 $,337 898 386 руб. (РФ),Двадцатый Век Фокс СНГ,"Twentieth Century Fox, Dune Entertainment, Chernin Entertainment, Ingenious Media, Big Screen Productions, Ingenious Film Partners, Dune Entertainment III","El planeta de los simios:, La planète des singes: Les origines, Възходът на планетата на маймуните, Planeta dos Macacos: A Origem, La montée de la planète des singes, Zrození planety opic, Planet der Affen: Prevolution, Abernes planet: Oprindelsen, El origen del planeta de los simios, Apinoiden planeetan synty, O planitis ton pithikon: I exegersi, Ο πλανήτης των πιθήκων: Η εξέγερση, Planet majmuna: Postanak, A majmok bolygója: Lázadás, Kohav Hakofim Hamered, L'alba del pianeta delle scimmie, Planet of the Apes: Genesis, Saru no wakusei: Jeneshisu, Hokseongtalchul: Jinhwaui Sijak, Bezdzioniu planetos sukilimas, El planeta de los simios, Bunt malp, Geneza planety malp, Planeta Maimutelor: Invazia, Uspon planete majmuna, Uzdizanje planete majmuna, Apornas planet:, Vzpon Planeta opic, Zrodenie planéty opíc, Maymunlar Cehennemi: Baslangiç, Повстання планети мавп, Caesar, Caesar: Rise of the Apes, Genesis: Apes, Rise of the Apes, Su Troi Day Cua Hanh Tinh Khi, Ahvide planeedi sünd, La Planète des singes : Les Origines, 猿人爭霸戰：猩凶革命, L'ascesa del pianeta delle scimmie, 猿の惑星：創世記（ジェネシス）, Pērtiķu planētas sākotne, Geneza planety małp, Успон планете мајмуна, 猩球崛起, Maymunlar Cehennemi: Başlangıç, Maymunlar sayyorasi: Qo'zg'olon, Sự Trỗi Dậy Của Hành Tinh Khỉ",,,
Железная хватка,7,7.6,7.3,2010,вестерн,драма,1 час 47 минут,,Чарлз Портис,11.02.2011 (РФ),38000000 $,38 825 224 руб. (РФ),Централ Партнершип,"Paramount Pictures, Skydance Media, Scott Rudin Productions, Mike Zoss Productions","Il Grinta, True Grit - Vergeltung, Temple de acero, Непреклонните, Bravura Indômita, Le vrai courage, Opravdová kuráz, Tõeline visadus, Valor de ley, Kova kuin kivi, Sulis simtkitse, Alithino thrasos, Αληθινό θράσος, Čovjek zvan Hrabrost, A félszemű, Ometz amiti, The Brave, Tikras isbandymas, True Grit - Et ekte mannfolk, Prawdziwe mestwo, Indomável, Adevaratul curaj, Čovek zvani hrabrost, Pravi pogum, Skutocná guráz, Iz Pesinde, Справжня мужнiсть, 大地惊雷, Shahamat-e vagheii, トゥルー・グリット, Īstenā drošsirdība, Tikras išbandymas, Prawdziwe męstwo, Човек звани храброст, 真實的勇氣, İz Peşinde, Справжня мужність",,Джоэл Коэн,
Добро пожаловать в Zомбилэнд,7,7.6,7,2009,комедия,приключения,1 час 28 минут,Рубен Фляйшер,Пол Верник,08.10.2009 (РФ),23600000 $,116 006 351 руб. (РФ),Walt Disney Studios,"Columbia Pictures, Relativity Media, Pariah","Benvenuti a Zombieland, Tierra de zombies, Земя на зомбита, Zumbilândia, Tere tulemast Zombimaale, Bienvenidos a Zombieland, Bienvenue à Zombieland, Dobrodošli u zemlju zombija, Zombiu zeme, Bem-vindo à Zombieland, Bun venit în Zombieland, Zombilend, Dobrodosli v dezeli zombijev, Вiтаемо у Зомбiлендi, Tierra de Zombies",,,
Шерлок Холмс,7,7.6,7.9,2009,боевик,детектив,2 часа 9 минут,Гай Ричи,  ...,30.12.2009 (РФ),90000000 $,498 377 900 руб. (РФ),Каро Премьер,"Warner Bros., Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte, Lin Pictures","Sherlok Holms, Шерлок Холмс, Shârokku Hômuzu, Šerlok Holms, Σέρλοκ Χολμς, シャーロック・ホームズ, Šerloks Holmss, Šerlokas Holmsas, 福爾摩斯, Шерлок Голмс, Sherlok Xolms",,,
Семь жизней,7,7.6,7.2,2008,драма,США,1 час 57 минут,Габриэле Муччино,Грант Нипорт,15.01.2009 (РФ),55000000 $,41 114 529 руб. (РФ),Walt Disney Studios,"Columbia Pictures, Relativity Media, Overbrook Entertainment, Escape Artists","Sette anime, Sieben Leben, 7 жизней, Siete almas, Sete Vidas, Седем души, Sept vies, Sedam duša, Sedm životů, Syv liv, Seitse elu, Seitsemän elämää, Epta zoes, Επτά ζωές, Hét élet, 7つの贈り物, Septiņas dzīves, Septynios sielos, Siedem dusz, Sapte suflete, Седам живота, Седам душа, Sedem životov, Sedem dus, 七生有幸, Yedi yaşam, Сім душ, Sen uchun, 7 Số Phận",А вот кому разбитое сердце? (Иван Куликов),,
Еще вчера,7,7.6,6.3,1991,мультфильмы,драма,1 час 58 минут,Исао Такахата,  ...,08.05.2008 (РФ),,,Ruscico,"Nippon Television Network (NTV), Studio Ghibli, Studiopolis, Tokuma Shoten","Сочащиеся воспоминания, Only Yesterday, Memories of Teardrops, Memories of Yesterday, Только вчера, Omohide poro poro, Recuerdos del ayer, Memórias de Ontem, 岁月的童话, Stripky minulosti, Minder fra i går, Alles eile, Eilisen kuiskaus, Souvenirs, goutte à goutte, Tränen der Erinnerung, Ταξιδιώτες στο παρελθόν, Suìyuè de tónghuà, Vissza a gyerekkorba, Kal Hee, Pioggia di ricordi, Omoide Poroporo, おもひでぽろぽろ, Tik vakar, Dagen i går, Powrót do marzeń, Records de l'ahir, Minnen av igår, Er shi de dian diandi di, 兒時的點點滴滴",Страница аниме на сайте Anime News Network (англ.)Унесенная памятью (Иван Куликов),,
